what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302533102511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302533120717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302533121601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302533126380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533134881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533164786
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302533171241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302533172208
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1302533173503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533176109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1302533176131
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302533176132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533176145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533177056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533186869
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1302533188523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302533194958
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302533196868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302533198075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533201485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533219127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302533221943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302533222930
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1302533224274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302533243954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302533253670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302533256721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533261651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533295706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533298104
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1302533298126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302533301637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302533302696
